Designator,Mid X,Mid Y,Rotation,Layer
C3,142.700499,-73.474501,90,top
C4,145.800499,-79.574501,-90,top
C5,144.250499,-76.524501,90,top
C6,150.900499,-76.524501,90,top
C7,150.650499,-79.749501,0,top
C8,151.700499,-60.124501,-90,top
C9,145.800499,-68.224501,-90,top
D1,151.4,-83.2,180,top
D4,155.175499,-64.099501,180,top
D5,155.175499,-62.499501,180,top
D6,155.175499,-60.949501,180,top
D7,155.175499,-59.399501,180,top
J2,148.8,-132.65,-90,top
R2,145.800499,-73.474501,-90,top
R3,144.250499,-73.474501,90,top
R4,147.350499,-79.574501,90,top
R5,145.800499,-76.524501,90,top
R6,158.225499,-64.099501,0,top
R7,158.225499,-62.499501,0,top
R8,158.225499,-60.949501,0,top
R9,158.225499,-59.399501,0,top
S2,155.700499,-71.999501,0,top
U1,148.800499,-67.049501,0,top
U2,147.200499,-61.349501,0,top
U3,148.300499,-75.949501,-90,top
U4,143.800499,-80.049501,0,top
