Designator,Mid X,Mid Y,Layer,Rotation
C1,28.875,-110.37548,top,180
C2,49.475,-110.25,top,180
C3,70.25,-110.375,top,180
C4,90.975,-110.25,top,180
C5,24.875,-113.12548,top,90
C6,45.725,-113,top,90
C7,66.5,-113.125,top,90
C8,87.25,-113,top,90
D1,107.5,-106.425,top,-90
D2,107.5,-109.425,top,-90
D3,107.5,-112.425,top,-90
D4,107.5,-115.425,top,-90
J1,113,-116.54,top,180
R1,25.625,-110.37548,top,180
R2,46.225,-110.25,top,180
R3,67,-110.375,top,180
R4,87.75,-110.25,top,180
R5,109,-106.425,top,-90
R6,109,-109.425,top,-90
R7,109,-112.425,top,-90
R8,109,-115.425,top,-90
SW1,174.5,-92.25,top,0
SW2,196.5,-92.25,top,0
SW3,152.5,-92.25,top,0
SW4,130.5,-92.25,top,0
SW5,152.25,-110,top,0
SW6,196.75,-110,top,0
SW7,174.5,-110,top,0
SW8,130,-110,top,0
SW9,152.166666,-127.5,top,0
SW10,196.5,-127.5,top,0
SW11,174.333333,-127.5,top,0
SW12,130,-127.5,top,0
U1,27.875,-113.12548,top,0
U2,48.725,-113,top,0
U3,69.5,-113.025,top,0
U4,90.25,-113,top,0
